Temperature(K),Volume(mL)
-50,-0.165504392
-49,-0.60725254
-48,0.260830754
-47,0.211640249
-46,0.301324402
-45,0.145821074
-44,-0.71838376
-43,-0.686011966
-42,0.809044161
-41,-0.044272669
-40,-0.445095495
-39,1.395558929
-38,0.507090975
-37,1.500476562
-36,-0.161326805
-35,1.637008227
-34,0.535832852
-33,0.894548125
-32,0.989983864
-31,2.188268629
-30,2.367496491
-29,2.228207528
-28,1.629315828
-27,2.989235218
-26,2.474659627
-25,3.687550825
-24,3.796669788
-23,4.172003014
-22,4.430651001
-21,4.243936233
-20,5.47330895
-19,5.29689266
-18,4.757314779
-17,5.725527901
-16,5.847041702
-15,6.867000101
-14,6.677774433
-13,6.296394891
-12,7.303138928
-11,8.671357724
-10,8.141310791
-9,7.612945675
-8,7.817631031
-7,8.596087129
-6,9.688071108
-5,9.421786519
-4,10.07348987
-3,9.829934379
-2,9.640204926
-1,9.381560477
0,9.493923193
1,9.805883816
2,9.402566312
3,9.400607862
4,10.47325554
5,9.263401575
6,10.18632691
7,8.708345172
8,8.506408653
9,8.762574041
10,8.378672785
11,8.202193914
12,8.150190454
13,7.666598894
14,7.163474031
15,6.426343537
16,6.527296122
17,6.275234036
18,4.715959183
19,4.434927277
20,4.954203053
21,3.886093555
22,3.843483101
23,3.790443078
24,3.079198282
25,3.718970058
26,1.897339525
27,2.768876945
28,2.536168214
29,2.743358295
30,1.038666779
31,1.22831351
32,0.735234204
33,1.153373902
34,1.742977093
35,0.47483556
36,1.49081408
37,0.202705534
38,1.5143815
39,-0.394353032
40,-0.294064167
41,0.272330169
42,-0.684412403
43,-0.005114044
44,0.580542136
45,0.100905689
46,1.041371106
47,-0.190458877
48,1.043706605
49,-0.07033892
50,-0.672734736
